model,threshold,wind_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
hist_gradient_boosting,3.5,20+,63,62,32,30,1,0.5161290322580645,-0.007680491551459334,0.39447247460618196,0.6359034579349471,-0.9090909090909088,-0.014662756598240465,-1.246031746031746,5.834684001269081
hist_gradient_boosting,3.5,5-10,1049,1036,551,485,13,0.5318532818532818,0.00804375804375801,0.5014062837459733,0.5620649218684203,15.909090909090912,0.015356265356265358,1.2469018112488084,5.675739779261545
hist_gradient_boosting,3.5,missing,41,38,17,21,3,0.4473684210526316,-0.07644110275689225,0.3014616531155089,0.6029397082091058,-5.545454545454547,-0.14593301435406703,-0.6585365853658537,5.674478415550559
hist_gradient_boosting,5.0,0-5,479,472,260,212,7,0.5508474576271186,0.027037933817594784,0.5057422762170833,0.5951316280401315,24.363636363636367,0.051617873651771964,-0.05219206680584551,7.001278706541734
hist_gradient_boosting,5.0,10-15,325,322,184,138,3,0.5714285714285714,0.04761904761904756,0.5168463137002753,0.6243265752126196,29.272727272727266,0.09090909090909088,-1.406153846153846,7.118735880653487
hist_gradient_boosting,5.0,15-20,96,95,46,49,1,0.4842105263157895,-0.039598997493734356,0.38629885886325244,0.5833495482851548,-7.181818181818182,-0.07559808612440191,0.328125,7.124775434501956
hist_gradient_boosting,5.0,20+,33,32,18,14,1,0.5625,0.038690476190476164,0.3932530203122613,0.7183491403055682,2.363636363636363,0.07386363636363634,-2.6515151515151514,7.409236593949416
hist_gradient_boosting,5.0,5-10,569,563,299,264,6,0.5310834813499112,0.007273957540387399,0.48979001752141366,0.5719556271172299,7.818181818181822,0.013886646213466825,2.196836555360281,6.98001509975799
hist_gradient_boosting,5.0,missing,23,22,10,12,1,0.45454545454545453,-0.0692640692640693,0.26920014432004846,0.6534052671095845,-2.9090909090909087,-0.13223140495867766,-1.673913043478261,6.750686650908054
ridge,1.5,0-5,1934,1910,989,921,24,0.5178010471204189,-0.00600847668910498,0.4953781957983307,0.5401524353678013,-21.9090909090909,-0.011470728224654921,0.2536194415718718,3.9914164721521765
ridge,1.5,10-15,1352,1331,663,668,21,0.49812171299774605,-0.02568781081177779,0.4713040689400256,0.524950168266846,-65.27272727272727,-0.04904036609521207,0.0610207100591716,3.6113997592183202
ridge,1.5,15-20,344,343,170,173,1,0.4956268221574344,-0.028182701652089415,0.44305608153418186,0.548294436973402,-18.454545454545446,-0.053803339517625205,0.5363372093023255,3.7901571753594983
ridge,1.5,20+,131,130,64,66,1,0.49230769230769234,-0.0315018315018315,0.40782903157362527,0.5772279312839617,-7.818181818181817,-0.06013986013986013,-1.1297709923664123,4.803124039467987
ridge,1.5,5-10,2547,2524,1287,1237,23,0.5099049128367671,-0.013904610972756748,0.4904019151864037,0.5293778051884808,-66.99999999999999,-0.026545166402535653,0.7487239890066745,3.8135187747643933
ridge,1.5,missing,118,115,58,57,3,0.5043478260869565,-0.01946169772256734,0.4143142670969196,0.5941002948073294,-4.2727272727272725,-0.03715415019762846,0.7627118644067796,3.225843986720397
ridge,2.5,0-5,1287,1271,671,600,16,0.5279307631785995,0.004121239369075713,0.5004421309663425,0.555251062603745,10.000000000000007,0.007867820613690013,0.19502719502719504,5.010959633812288
ridge,2.5,10-15,873,856,422,434,17,0.4929906542056075,-0.030818869603916332,0.4596044394375828,0.5264395016790138,-50.36363636363636,-0.05883602378929481,-0.0715922107674685,4.513319779771196
ridge,2.5,15-20,224,223,105,118,1,0.47085201793721976,-0.05295750587230408,0.40638683534138054,0.5363044523236686,-22.54545454545454,-0.10110069302894413,0.171875,4.7362531348527215
ridge,2.5,20+,92,92,40,52,0,0.43478260869565216,-0.08902691511387167,0.3381140282933585,0.5366793808316979,-15.636363636363638,-0.1699604743083004,-1.548913043478261,6.007001709243535
ridge,2.5,5-10,1762,1743,893,850,19,0.5123350545037292,-0.011474469305794655,0.48886739885268826,0.5357484564143261,-38.18181818181817,-0.021905805038335155,1.1441543700340522,4.627816600894956
ridge,2.5,missing,83,82,42,40,1,0.5121951219512195,-0.011614401858304313,0.40590584856555767,0.6173928783920014,-1.818181818181817,-0.02217294900221728,0.5662650602409639,3.7284421656831888
ridge,3.5,0-5,838,826,421,405,12,0.5096852300242131,-0.01412429378531077,0.4756272044387697,0.5436535836055991,-22.272727272727273,-0.026964560862865947,0.18138424821002386,6.081354092086383
ridge,3.5,10-15,534,524,247,277,10,0.4713740458015267,-0.05243547800799714,0.4289964146370856,0.5141683529750163,-52.45454545454545,-0.10010409437890354,0.15262172284644196,5.487915563691404
ridge,3.5,15-20,146,145,70,75,1,0.4827586206896552,-0.04105090311986864,0.4029227213592587,0.5634845196271321,-11.363636363636365,-0.07836990595611286,-0.14383561643835616,5.675786493454034
ridge,3.5,20+,63,63,31,32,0,0.49206349206349204,-0.0317460317460318,0.3726660281435346,0.6123732288461243,-3.8181818181818175,-0.060606060606060594,-0.4523809523809524,7.358810124753852
ridge,3.5,5-10,1126,1114,581,533,12,0.5215439856373429,-0.002265538172180892,0.4921857173350686,0.5507541768324058,-4.818181818181817,-0.004325118328708992,1.2624333925399644,5.5555576343511515
