model,threshold,total_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
ridge,1.5,<=42,266,260,141,119,6,0.5423076923076923,0.018498168498168432,0.4815719652226222,0.6018113981287219,9.181818181818183,0.03531468531468532,2.6409774436090228,3.4955715656327344
ridge,2.5,42-49,924,912,492,420,12,0.5394736842105263,0.01566416040100249,0.5070258453499749,0.5715903695063934,27.272727272727273,0.029904306220095694,1.5091991341991342,4.668036347284352
ridge,2.5,49-56,1534,1520,756,764,14,0.49736842105263157,-0.026441102756892265,0.4722706369419936,0.52247947356818,-76.72727272727272,-0.050478468899521525,0.5951760104302477,4.808680718700906
ridge,2.5,56-63,1090,1069,537,532,21,0.5023386342376053,-0.02147088957191856,0.4724108146843031,0.5322497055639797,-43.81818181818181,-0.04098988009184454,0.11743119266055047,4.67229163155026
ridge,2.5,63+,609,606,303,303,3,0.5,-0.023809523809523836,0.46031580704722497,0.539684192952775,-27.545454545454543,-0.04545454545454545,-1.2988505747126438,4.8616446119656205
ridge,2.5,<=42,164,160,85,75,4,0.53125,0.007440476190476164,0.45410132271210635,0.6069332374972666,2.2727272727272743,0.014204545454545464,3.067073170731707,4.4094534877311995
ridge,3.5,42-49,614,606,324,282,8,0.5346534653465347,0.010843941537010848,0.49484580183526394,0.5740245408897979,12.545454545454549,0.020702070207020706,1.6311074918566775,5.508236024684798
ridge,3.5,49-56,970,960,465,495,10,0.484375,-0.039434523809523836,0.4528863641381682,0.5159881895229314,-72.27272727272727,-0.0752840909090909,0.9278350515463918,5.873193401248937
ridge,3.5,56-63,679,666,336,330,13,0.5045045045045045,-0.019305019305019377,0.4666150192850602,0.5423423222715107,-24.54545454545454,-0.03685503685503685,-0.02577319587628866,5.698013213778902
ridge,3.5,63+,385,383,192,191,2,0.5013054830287206,-0.02250404078080326,0.45146628912969156,0.5511187482602892,-16.454545454545453,-0.04296225967244244,-1.2077922077922079,5.932660056226164
ridge,3.5,<=42,97,94,50,44,3,0.5319148936170213,0.008105369807497431,0.4317808473355929,0.6295427614361362,1.4545454545454541,0.015473887814313341,1.768041237113402,5.341137642779288
ridge,5.0,42-49,284,280,146,134,4,0.5214285714285715,-0.0023809523809523725,0.4630227463185396,0.579254354712458,-1.2727272727272751,-0.004545454545454554,0.5440140845070423,7.044053231417108
ridge,5.0,49-56,487,483,240,243,4,0.4968944099378882,-0.026915113871635643,0.45250450300996636,0.5413333284325397,-24.81818181818182,-0.05138339920948617,1.286447638603696,7.538798259223601
ridge,5.0,56-63,331,326,161,165,5,0.4938650306748466,-0.02994449313467723,0.43998032169470574,0.5478926452081957,-18.636363636363633,-0.05716675962074734,-0.4471299093655589,7.352397748601741
ridge,5.0,63+,213,211,106,105,2,0.5023696682464455,-0.02143985556307837,0.43546795428365104,0.5691866377506662,-8.636363636363637,-0.04093063334769496,-2.0610328638497655,7.331119306717392
ridge,5.0,<=42,40,39,21,18,1,0.5384615384615384,0.0146520146520146,0.3856918682173881,0.6843335276595165,1.0909090909090917,0.027972027972027993,0.2375,7.037528060186479
