filter_name,category,season,graded,wins,losses,hit_rate,net_units_1u_each,roi_per_1u
hgb_under_3p5_humidity_ge_80,weather_single,2019,20,10,10,0.5,-0.9090909090909093,-0.04545454545454546
hgb_under_3p5_humidity_ge_80,weather_single,2020,22,11,11,0.5,-1.0000000000000004,-0.04545454545454548
hgb_under_3p5_humidity_ge_80,weather_single,2021,49,28,21,0.5714285714285714,4.454545454545454,0.0909090909090909
hgb_under_3p5_humidity_ge_80,weather_single,2022,19,13,6,0.6842105263157895,5.8181818181818175,0.3062200956937799
hgb_under_3p5_humidity_ge_80,weather_single,2023,21,12,9,0.5714285714285714,1.9090909090909087,0.0909090909090909
hgb_under_3p5_humidity_ge_80,weather_single,2024,15,10,5,0.6666666666666666,4.090909090909091,0.2727272727272727
hgb_under_3p5_humidity_ge_90,weather_single,2016,22,12,10,0.5454545454545454,0.9090909090909091,0.04132231404958678
hgb_under_3p5_humidity_ge_90,weather_single,2017,25,14,11,0.56,1.727272727272727,0.06909090909090908
hgb_under_3p5_humidity_ge_90,weather_single,2018,25,14,11,0.56,1.7272727272727275,0.0690909090909091
hgb_under_3p5_humidity_ge_90,weather_single,2019,11,7,4,0.6363636363636364,2.3636363636363633,0.21487603305785122
hgb_under_3p5_humidity_ge_90,weather_single,2020,14,7,7,0.5,-0.6363636363636367,-0.04545454545454548
hgb_under_3p5_humidity_ge_90,weather_single,2021,19,9,10,0.47368421052631576,-1.818181818181818,-0.0956937799043062
hgb_under_3p5_humidity_ge_90,weather_single,2022,7,5,2,0.7142857142857143,2.5454545454545454,0.36363636363636365
hgb_under_3p5_humidity_ge_90,weather_single,2023,14,8,6,0.5714285714285714,1.2727272727272725,0.0909090909090909
hgb_under_3p5_humidity_ge_90,weather_single,2024,5,4,1,0.8,2.6363636363636362,0.5272727272727272
hgb_under_3p5_dewpoint_ge_60,weather_single,2016,37,18,19,0.4864864864864865,-2.636363636363636,-0.07125307125307123
hgb_under_3p5_dewpoint_ge_60,weather_single,2017,49,30,19,0.6122448979591837,8.272727272727273,0.16883116883116883
hgb_under_3p5_dewpoint_ge_60,weather_single,2018,65,35,30,0.5384615384615384,1.8181818181818186,0.02797202797202798
hgb_under_3p5_dewpoint_ge_60,weather_single,2019,28,17,11,0.6071428571428571,4.454545454545455,0.15909090909090912
hgb_under_3p5_dewpoint_ge_60,weather_single,2020,21,8,13,0.38095238095238093,-5.7272727272727275,-0.27272727272727276
hgb_under_3p5_dewpoint_ge_60,weather_single,2021,76,40,36,0.5263157894736842,0.3636363636363642,0.004784688995215319
hgb_under_3p5_dewpoint_ge_60,weather_single,2022,30,18,12,0.6,4.363636363636363,0.14545454545454545
hgb_under_3p5_dewpoint_ge_60,weather_single,2023,27,13,14,0.48148148148148145,-2.1818181818181817,-0.0808080808080808
hgb_under_3p5_dewpoint_ge_60,weather_single,2024,20,10,10,0.5,-0.9090909090909092,-0.045454545454545456
hgb_under_3p5_dewpoint_ge_65,weather_single,2016,21,7,14,0.3333333333333333,-7.636363636363636,-0.3636363636363636
hgb_under_3p5_dewpoint_ge_65,weather_single,2017,26,14,12,0.5384615384615384,0.7272727272727273,0.027972027972027972
hgb_under_3p5_dewpoint_ge_65,weather_single,2018,50,27,23,0.54,1.5454545454545454,0.030909090909090907
hgb_under_3p5_dewpoint_ge_65,weather_single,2019,18,9,9,0.5,-0.8181818181818185,-0.04545454545454547
hgb_under_3p5_dewpoint_ge_65,weather_single,2020,13,2,11,0.15384615384615385,-9.181818181818182,-0.7062937062937062
hgb_under_3p5_dewpoint_ge_65,weather_single,2021,42,24,18,0.5714285714285714,3.8181818181818183,0.09090909090909091
hgb_under_3p5_dewpoint_ge_65,weather_single,2022,14,7,7,0.5,-0.6363636363636367,-0.04545454545454548
hgb_under_3p5_dewpoint_ge_65,weather_single,2023,11,7,4,0.6363636363636364,2.3636363636363633,0.21487603305785122
hgb_under_3p5_dewpoint_ge_65,weather_single,2024,14,6,8,0.42857142857142855,-2.545454545454545,-0.1818181818181818
hgb_under_3p5_dewpoint_ge_70,weather_single,2016,12,4,8,0.3333333333333333,-4.363636363636363,-0.3636363636363636
