model,threshold,temp_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
ridge,2.5,missing,83,82,42,40,1,0.5121951219512195,-0.011614401858304313,0.40590584856555767,0.6173928783920014,-1.818181818181817,-0.02217294900221728,0.5662650602409639,3.72844216568319
ridge,3.5,35-50,359,351,188,163,8,0.5356125356125356,0.011803011803011798,0.4833330746435325,0.5871208969313899,7.90909090909091,0.022533022533022536,0.6072423398328691,5.748849732828344
ridge,3.5,50-70,1007,994,506,488,13,0.5090543259557344,-0.014755197853789426,0.47800071510362885,0.5400382201341886,-27.99999999999999,-0.028169014084507032,0.2919563058589871,6.04819970033362
ridge,3.5,70-85,1001,991,494,497,10,0.49848637739656915,-0.02532314641295469,0.46742180222342994,0.5295626423353823,-47.90909090909091,-0.048344188606549855,0.8021978021978022,5.5462981570285725
ridge,3.5,85+,266,264,129,135,2,0.48863636363636365,-0.03517316017316019,0.42893386881008644,0.5486648313171529,-17.727272727272727,-0.06714876033057851,1.836466165413534,5.5471376235121
ridge,3.5,<=35,74,72,33,39,2,0.4583333333333333,-0.06547619047619052,0.3482843869513592,0.5726033580329238,-9.0,-0.125,-2.675675675675676,5.308002527049161
ridge,3.5,missing,38,37,17,20,1,0.4594594594594595,-0.06435006435006435,0.31038327828457724,0.6161622047523264,-4.545454545454545,-0.12285012285012284,-0.39473684210526316,4.621593714676322
ridge,5.0,35-50,184,179,100,79,5,0.5586592178770949,0.0348496940675711,0.48544163488238934,0.6294118776661772,11.90909090909091,0.0665312341289995,-0.21195652173913043,7.213481158034165
ridge,5.0,50-70,499,496,249,247,3,0.5020161290322581,-0.021793394777265718,0.4581671112182595,0.5458341563833169,-20.636363636363633,-0.04160557184750732,0.35470941883767537,7.974723638550663
ridge,5.0,70-85,479,473,229,244,6,0.48414376321353064,-0.039665760595993194,0.43941532734332256,0.5291276856823864,-35.81818181818181,-0.07572554295598692,-0.3048016701461378,7.018133229203326
ridge,5.0,85+,146,145,74,71,1,0.5103448275862069,-0.013464696223316919,0.4297671411640899,0.5903885142440755,-3.7272727272727266,-0.02570532915360501,2.136986301369863,6.698955886791117
ridge,5.0,<=35,37,37,17,20,0,0.4594594594594595,-0.06435006435006435,0.31038327828457724,0.6161622047523264,-4.545454545454545,-0.12285012285012284,-2.472972972972973,6.488632719392555
ridge,5.0,missing,10,9,5,4,1,0.5555555555555556,0.031746031746031744,0.2666473457440297,0.811224570528086,0.5454545454545454,0.0606060606060606,-0.9,6.209864389730997
